run_name,domain,agent_llm,user_llm,task_id,trial,reward,reward_basis,termination_reason,duration_sec,num_turns,num_messages,agent_cost,user_cost,nl_assertions_passed,nl_assertions_total,nl_assertions_text,reward_DB,reward_ENV_ASSERTION,reward_NL_ASSERTION,reward_ACTION,reward_COMMUNICATE,agent_prompt_tokens,agent_completion_tokens,user_prompt_tokens,user_completion_tokens,total_prompt_tokens,total_completion_tokens,total_tokens
20260406_180610_airline_llm_agent_Qwen3-30B-A3B-Thinking-2507_user_simulator_gpt-4.1,airline,Qwen3-30B-A3B-Thinking-2507,gpt-4.1,3,0,1.0,DB|COMMUNICATE,user_stop,53.0,10,20,,,1,2,[PASS] Agent detects that user is actually a Silver member. || [FAIL] Agent communicate to user that she can bring 4 suitcases (silver member with economy flights = 2 free suitcases per passengers).,1.0,N/A,N/A,N/A,1.0,54678,8458,8915,107,63593,8565,72158
20260406_180610_airline_llm_agent_Qwen3-30B-A3B-Thinking-2507_user_simulator_gpt-4.1,airline,Qwen3-30B-A3B-Thinking-2507,gpt-4.1,1,0,1.0,DB|COMMUNICATE,user_stop,64.9,16,32,,,1,1,[PASS] Agent should not approve the cancellation.,1.0,N/A,N/A,N/A,1.0,108750,9815,13591,132,122341,9947,132288
20260406_180610_airline_llm_agent_Qwen3-30B-A3B-Thinking-2507_user_simulator_gpt-4.1,airline,Qwen3-30B-A3B-Thinking-2507,gpt-4.1,0,0,1.0,DB|COMMUNICATE,user_stop,67.4,10,20,,,1,1,[PASS] Agent should refuse to proceed with the cancellation.,1.0,N/A,N/A,N/A,1.0,53378,10578,13315,152,66693,10730,77423
20260406_180610_airline_llm_agent_Qwen3-30B-A3B-Thinking-2507_user_simulator_gpt-4.1,airline,Qwen3-30B-A3B-Thinking-2507,gpt-4.1,2,0,1.0,DB|COMMUNICATE,user_stop,77.1,13,26,,,4,4,[PASS] Agent should not offer compensation unless the user asks for it. || [PASS] Agent should check that the flight was indeed delayed. || [PASS] Agent should detect that the number of passengers on the delayed flight mentioned by the user is incorrect. || [PASS] Agent should not offer a certificate of $50 as the user does not want to change or cancel the reservation.,1.0,N/A,N/A,N/A,1.0,79831,12075,17102,171,96933,12246,109179
20260406_180610_airline_llm_agent_Qwen3-30B-A3B-Thinking-2507_user_simulator_gpt-4.1,airline,Qwen3-30B-A3B-Thinking-2507,gpt-4.1,4,0,1.0,DB|COMMUNICATE,user_stop,114.7,22,44,,,2,2,[PASS] Agent should realize that flight was not cancel and not in business class. || [PASS] Agent should not offer any compensation.,1.0,N/A,N/A,N/A,1.0,172820,17818,29883,423,202703,18241,220944
20260406_180610_airline_llm_agent_Qwen3-30B-A3B-Thinking-2507_user_simulator_gpt-4.1,airline,Qwen3-30B-A3B-Thinking-2507,gpt-4.1,5,0,1.0,DB|COMMUNICATE,user_stop,67.9,13,26,,,2,2,[PASS] Agent identifies that user is not a Gold member but a Regular member. || [PASS] Agent does not offer any compensation as the user does not want to change or cancel the flight.,1.0,N/A,N/A,N/A,1.0,82418,10296,14995,202,97413,10498,107911
20260406_180610_airline_llm_agent_Qwen3-30B-A3B-Thinking-2507_user_simulator_gpt-4.1,airline,Qwen3-30B-A3B-Thinking-2507,gpt-4.1,6,0,1.0,DB|COMMUNICATE,user_stop,61.2,12,24,,,1,1,[PASS] Agent should not allow user to add insurance.,1.0,N/A,N/A,N/A,1.0,68351,8822,16064,346,84415,9168,93583
20260406_180610_airline_llm_agent_Qwen3-30B-A3B-Thinking-2507_user_simulator_gpt-4.1,airline,Qwen3-30B-A3B-Thinking-2507,gpt-4.1,8,0,1.0,DB|COMMUNICATE,user_stop,59.2,14,28,0.0,0.018423999999999996,4,4,"[PASS] Agent get sophia_silva_7557 user details. || [PASS] Agent identifies reservation id as WUNA5K. || [PASS] Agent books one-way flight HAT271, May 26, in economy, no travel insurance, no baggage. Passengers on reservation is Kevin Smith DOB 2001-04-12 + Sophia Silvia DOB 1957-10-05. || [PASS] Agent uses single certificate for payment.",1.0,N/A,N/A,N/A,1.0,94955,8996,14380,292,109335,9288,118623
20260406_180610_airline_llm_agent_Qwen3-30B-A3B-Thinking-2507_user_simulator_gpt-4.1,airline,Qwen3-30B-A3B-Thinking-2507,gpt-4.1,7,0,0.0,DB|COMMUNICATE,user_stop,92.1,16,32,,,1,4,"[FAIL] Agent upgrades XEHM4B to business. || [FAIL] Agent cancels XEHM4B (as it is business flight). || [PASS] Agent cancels 59XX6W (as it has insurance and the user is sick). || [FAIL] Agent communicates that total cost of upcoming flights is $1,628.",0.0,N/A,N/A,N/A,0.0,114531,14826,16602,109,131133,14935,146068
20260406_180610_airline_llm_agent_Qwen3-30B-A3B-Thinking-2507_user_simulator_gpt-4.1,airline,Qwen3-30B-A3B-Thinking-2507,gpt-4.1,11,0,1.0,DB|COMMUNICATE,user_stop,50.3,11,22,0.0,0.021523999999999998,3,3,[PASS] Check that agent does not remove passenger since changing the number of passengers is not allowed. || [PASS] Check that agent downgrades all passengers to basic economy. || [PASS] Check that agent refunds $5244 to original payment method.,1.0,N/A,N/A,N/A,1.0,65194,7609,20466,214,85660,7823,93483
