    run_name,domain,agent_llm,user_llm,total_sims,evaluated_sims,avg_reward,avg_reward_DB,avg_reward_ENV_ASSERTION,avg_reward_NL_ASSERTION,avg_reward_ACTION,avg_reward_COMMUNICATE,nl_assertions_passed,nl_assertions_total,nl_assertion_pass_rate,nl_task_pass_rate,total_prompt_tokens,total_completion_tokens,total_tokens,avg_tokens_per_sim,avg_duration_sec,avg_turns
    20260406_180610_airline_llm_agent_Qwen3-30B-A3B-Thinking-2507_user_simulator_gpt-4.1,airline,Qwen3-30B-A3B-Thinking-2507,gpt-4.1,50,50,0.6,0.6122,,,,0.9592,82,122,0.6721,0.6327,7758445,605840,8364285,167286,77.2,15.0
    20260406_182139_retail_llm_agent_Qwen3-30B-A3B-Thinking-2507_user_simulator_gpt-4.1,retail,Qwen3-30B-A3B-Thinking-2507,gpt-4.1,114,114,0.5526,0.5614,,0.9286,,,53,61,0.8689,0.8,19119809,1369241,20489050,179729,79.2,16.8
    20260406_185301_telecom_llm_agent_Qwen3-30B-A3B-Thinking-2507_user_simulator_gpt-4.1,telecom,Qwen3-30B-A3B-Thinking-2507,gpt-4.1,114,89,0.2809,,0.321,,0.9474,,0,0,,,68155959,2042793,70198752,788750,165.0,25.3
    20260407_070017_airline_llm_agent_Qwen3-30B-A3B-Thinking-2507_user_simulator_Qwen3-30B-A3B-Thinking-2507,airline,Qwen3-30B-A3B-Thinking-2507,Qwen3-30B-A3B-Thinking-2507,50,1,0.0,,,,,,0,0,,,6175614,108978,6284592,6284592,695.7,101.0
    20260407_073437_retail_llm_agent_Qwen3-30B-A3B-Thinking-2507_user_simulator_Qwen3-30B-A3B-Thinking-2507,retail,Qwen3-30B-A3B-Thinking-2507,Qwen3-30B-A3B-Thinking-2507,114,76,0.5132,0.527,,1.0,,,0,0,,,25891356,1263263,27154619,357298,115.6,15.3
    20260407_083058_telecom_llm_agent_Qwen3-30B-A3B-Thinking-2507_user_simulator_Qwen3-30B-A3B-Thinking-2507,telecom,Qwen3-30B-A3B-Thinking-2507,Qwen3-30B-A3B-Thinking-2507,114,114,0.2018,,0.2411,,0.8,,0,0,,,32353821,1947162,34300983,300886,109.5,12.5
    20260407_094807_telecom_llm_agent_Qwen3-30B-A3B-Thinking-2507_user_simulator_gpt-4.1,telecom,Qwen3-30B-A3B-Thinking-2507,gpt-4.1,10,0,,,,,,,0,0,,,0,0,0,,,
    20260407_101818_telecom_llm_agent_Qwen3-30B-A3B-Thinking-2507_user_simulator_gpt-4.1,telecom,Qwen3-30B-A3B-Thinking-2507,gpt-4.1,0,0,,,,,,,0,0,,,0,0,0,,,
    20260407_102917_telecom_llm_agent_Qwen3-30B-A3B-Thinking-2507_user_simulator_gpt-4.1,telecom,Qwen3-30B-A3B-Thinking-2507,gpt-4.1,114,114,0.2456,,0.303,,0.8889,,0,0,,,108300045,2919363,111219408,975609,183.8,29.3
    20260407_143549_airline_llm_agent_Qwen3-30B-A3B-Thinking-2507_user_simulator_gpt-4.1,airline,Qwen3-30B-A3B-Thinking-2507,gpt-4.1,50,49,0.6122,0.6531,,,,0.9184,82,120,0.6833,0.6122,4128102,385712,4513814,92119,49.9,10.9
    20260407_144550_retail_llm_agent_Qwen3-30B-A3B-Thinking-2507_user_simulator_gpt-4.1,retail,Qwen3-30B-A3B-Thinking-2507,gpt-4.1,114,114,0.4825,0.5133,,0.8829,,,42,59,0.7119,0.6667,19281957,936717,20218674,177357,53.6,13.5
    20260407_151119_telecom_llm_agent_Qwen3-30B-A3B-Thinking-2507_user_simulator_gpt-4.1,telecom,Qwen3-30B-A3B-Thinking-2507,gpt-4.1,114,114,0.2018,,0.2364,,0.7895,,0,0,,,54405084,1738726,56143810,492490,110.3,18.9
    20260408_013037_airline_llm_agent_Qwen3-30B-A3B-Thinking-2507_user_simulator_Qwen3-30B-A3B-Thinking-2507,airline,Qwen3-30B-A3B-Thinking-2507,Qwen3-30B-A3B-Thinking-2507,50,50,0.54,0.54,,,,0.92,72,123,0.5854,0.54,8081070,689112,8770182,175404,94.8,12.2
    20260408_014800_retail_llm_agent_Qwen3-30B-A3B-Thinking-2507_user_simulator_Qwen3-30B-A3B-Thinking-2507,retail,Qwen3-30B-A3B-Thinking-2507,Qwen3-30B-A3B-Thinking-2507,114,114,0.4649,0.5133,,0.8559,,,42,60,0.7,0.5897,20743884,1658065,22401949,196508,98.1,13.5
    20260408_023137_telecom_llm_agent_Qwen3-30B-A3B-Thinking-2507_user_simulator_Qwen3-30B-A3B-Thinking-2507,telecom,Qwen3-30B-A3B-Thinking-2507,Qwen3-30B-A3B-Thinking-2507,114,113,0.2035,,0.2679,,0.65,,0,0,,,34100899,1976804,36077703,319272,114.5,11.8
    20260409_100533_airline_llm_agent_Qwen3-30B-A3B-Thinking-2507_user_simulator_gpt-4.1,airline,Qwen3-30B-A3B-Thinking-2507,gpt-4.1,5,0,,,,,,,0,0,,,0,0,0,,,
    20260409_102507_airline_llm_agent_Qwen3-30B-A3B-Thinking-2507_user_simulator_gpt-4.1,airline,Qwen3-30B-A3B-Thinking-2507,gpt-4.1,46,46,0.6957,0.6957,,,,0.9783,92,114,0.807,0.6957,5238781,502515,5741296,124811,69.2,13.7
