sim_idx,tasks_full_idx,task_id,reward,category,warning_fired,lines_looked_up,l1001_lookups,write_actions_on_lines,failed_env_assertions,failed_actions,passed_actions,refuel_gb_amount
0,13,[mobile_data_issue]airplane_mode_on|bad_network_preference[PERSONA:Hard],1.0,PASS,False,,0,,,,toggle_airplane_mode;set_network_mode_preference,
1,11,[mobile_data_issue]airplane_mode_on|data_mode_off[PERSONA:None],1.0,PASS,True,L1001;L1002,1,,,,toggle_airplane_mode;toggle_data,
2,18,[mobile_data_issue]bad_network_preference|user_abroad_roaming_enabled_off[PERSONA:Hard],1.0,PASS,True,L1001;L1002,1,,,,set_network_mode_preference;toggle_roaming,
3,8,[mobile_data_issue]airplane_mode_on|user_abroad_roaming_enabled_off[PERSONA:None],1.0,PASS,True,L1001;L1002,1,,,,toggle_airplane_mode;toggle_roaming,
4,17,[mobile_data_issue]data_saver_mode_on|user_abroad_roaming_enabled_off[PERSONA:Easy],0,E_missed_troubleshooting,True,L1001;L1002,1,,assert_internet_speed,toggle_data_saver_mode,toggle_roaming,
5,20,[mobile_data_issue]data_usage_exceeded|user_abroad_roaming_enabled_off[PERSONA:Easy],1.0,PASS,True,L1001;L1002,1,"{""refuel_data"": ""L1002""}",,,refuel_data;toggle_roaming,2.0
6,34,[mobile_data_issue]data_mode_off|data_usage_exceeded[PERSONA:None],1.0,PASS,True,L1001;L1002,1,"{""refuel_data"": ""L1002""}",,,toggle_data;refuel_data,2.0
7,47,[mobile_data_issue]airplane_mode_on|data_saver_mode_on|user_abroad_roaming_disabled_on[PERSONA:None],1.0,PASS,True,L1001;L1002,1,"{""enable_roaming"": ""L1002""}",,,toggle_airplane_mode;toggle_data_saver_mode;enable_roaming,
8,43,[mobile_data_issue]airplane_mode_on|bad_network_preference|user_abroad_roaming_enabled_off[PERSONA:Easy],1.0,PASS,True,L1001;L1002,1,,,,toggle_airplane_mode;set_network_mode_preference;toggle_roaming,
9,37,[mobile_data_issue]data_saver_mode_on|data_usage_exceeded[PERSONA:Easy],1.0,PASS,True,L1001;L1002,1,"{""refuel_data"": ""L1002""}",,,toggle_data_saver_mode;refuel_data,2.0
